Ranking,Title,IMDb Rating
235,"Rebecca, a Mulher Inesquecível (1940)",8.0
236,Rififi (1955),8.0
237,Pinte de Açafrão (2006),8.0
238,Antes do Pôr-do-Sol (2004),8.0
239,Amor à Flor da Pele (2000),8.0
240,Vikram Vedha (2017),8.0
241,"Paris, Texas (1984)",8.0
242,Retrato de uma Jovem em Chamas (2019),8.0
243,Aconteceu Naquela Noite (1934),8.0
244,Um Contratempo (2016),8.0
245,Histórias Cruzadas (2011),8.0
246,A Princesa Prometida (1987),8.0
247,A Batalha de Argel (1966),8.0
248,A Chantagem (2015),8.0
249,Fanny e Alexander (1982),8.0
250,Tangerinas (2013),8.0
